Source,Target
BTF3P11,ARTHRITIS
CNR1,ARTHRITIS
CLEC12A,ARTHRITIS
PADI4,ARTHRITIS
DKK1,ARTHRITIS
CPB2,ARTHRITIS
SERPINA5,ARTHRITIS
MAPK14,ARTHRITIS
IL1F10,ARTHRITIS
ICAM1,ARTHRITIS
HTRA1,ARTHRITIS
FAP,ARTHRITIS
CDKN1A,ARTHRITIS
ADAMTS12,ARTHRITIS
ADORA2A,ARTHRITIS
MBP,ARTHRITIS
MIR26A1,ARTHRITIS
IGHM,ARTHRITIS
RHBDF2,ARTHRITIS
APOE,ARTHRITIS
HLA-DRB4,ARTHRITIS
IL34,ARTHRITIS
ADAMTS5,ARTHRITIS
RHOB,ARTHRITIS
TNFRSF12A,ARTHRITIS
TREM1,ARTHRITIS
TNFSF13B,ARTHRITIS
MIR146A,ARTHRITIS
AIM2,ARTHRITIS
JUN,ARTHRITIS
ORAI1,ARTHRITIS
TIMP3,ARTHRITIS
C1QTNF6,ARTHRITIS
MMP8,ARTHRITIS
IDO1,ARTHRITIS
HSP90B2P,ARTHRITIS
CARD9,ARTHRITIS
PADI2,ARTHRITIS
NR4A2,ARTHRITIS
LYN,ARTHRITIS
CCR6,ARTHRITIS
MEFV,ARTHRITIS
CD79A,ARTHRITIS
SEMA4D,ARTHRITIS
IDO2,ARTHRITIS
KLKB1,ARTHRITIS
SETBP1,ARTHRITIS
RIPK3,ARTHRITIS
COL2A1,ARTHRITIS
HSD11B2,ARTHRITIS
SOST,ARTHRITIS
NPTX1,ARTHRITIS
SDC4,ARTHRITIS
HSD11B1,ARTHRITIS
ANGPT2,ARTHRITIS
OLR1,ARTHRITIS
MIR10A,ARTHRITIS
TBX5,ARTHRITIS
CTSL,ARTHRITIS
MT1JP,ARTHRITIS
CCL20,ARTHRITIS
JAK3,ARTHRITIS
TSLP,ARTHRITIS
JAK2,ARTHRITIS
IL7R,ARTHRITIS
BCKDHA,ARTHRITIS
STAT5A,ARTHRITIS
PRDX2,ARTHRITIS
MST1,ARTHRITIS
TNFRSF9,ARTHRITIS
PLA2G1B,ARTHRITIS
VSIR,ARTHRITIS
PI3,ARTHRITIS
VCAM1,ARTHRITIS
MMP14,ARTHRITIS
TNFSF15,ARTHRITIS
TNFRSF25,ARTHRITIS
MPO,ARTHRITIS
DNASE2,ARTHRITIS
TWIST1,ARTHRITIS
MAP3K14,ARTHRITIS
MSH5,ARTHRITIS
PLA2G10,ARTHRITIS
SOD3,ARTHRITIS
SPG7,ARTHRITIS
PTEN,ARTHRITIS
FLT3LG,ARTHRITIS
CLEC5A,ARTHRITIS
PTPN22,ARTHRITIS
ITGA2,ARTHRITIS
SIK3,ARTHRITIS
MAPK12,ARTHRITIS
ADCYAP1,ARTHRITIS
DPEP1,ARTHRITIS
TIMP4,ARTHRITIS
ACE,ARTHRITIS
SST,ARTHRITIS
EDN1,ARTHRITIS
EPO,ARTHRITIS
SP7,ARTHRITIS
TGFBR1,ARTHRITIS
MARCKSL1,ARTHRITIS
TEK,ARTHRITIS
CCL3,ARTHRITIS
CST4,ARTHRITIS
FHL2,ARTHRITIS
TCIRG1,ARTHRITIS
THBS1,ARTHRITIS
IL5,ARTHRITIS
FCER2,ARTHRITIS
REL,ARTHRITIS
NOS1,ARTHRITIS
CR1,ARTHRITIS
CD14,ARTHRITIS
GUSB,ARTHRITIS
PRKCQ,ARTHRITIS
BSG,ARTHRITIS
CA1,ARTHRITIS
CCL11,ARTHRITIS
SERPINA1,ARTHRITIS
CXCL16,ARTHRITIS
B2M,ARTHRITIS
GHSR,ARTHRITIS
TXN,ARTHRITIS
TRPA1,ARTHRITIS
KLF2,ARTHRITIS
ICOSLG,ARTHRITIS
DRD2,ARTHRITIS
TNFRSF18,ARTHRITIS
TRPV3,ARTHRITIS
SLC11A1,ARTHRITIS
F2R,ARTHRITIS
DCN,ARTHRITIS
FCGR2A,ARTHRITIS
SELP,ARTHRITIS
GRK6,ARTHRITIS
KLRK1,ARTHRITIS
B3GAT1,ARTHRITIS
S1PR1,ARTHRITIS
CORT,ARTHRITIS
KDR,ARTHRITIS
IRAK1,ARTHRITIS
TNFSF18,ARTHRITIS
SPHK1,ARTHRITIS
CD274,ARTHRITIS
GRK2,ARTHRITIS
MIP,ARTHRITIS
CD200R1,ARTHRITIS
MYD88,ARTHRITIS
CTSC,ARTHRITIS
GAPDH,ARTHRITIS
PGF,ARTHRITIS
RAG2,ARTHRITIS
INHBE,ARTHRITIS
ADA,ARTHRITIS
THY1,ARTHRITIS
ERAP1,ARTHRITIS
NPPB,ARTHRITIS
HK1,ARTHRITIS
SPHK2,ARTHRITIS
TIE1,ARTHRITIS
ADAMTS4,ARTHRITIS
NOTCH1,ARTHRITIS
DLL1,ARTHRITIS
NPS,ARTHRITIS
ARMH1,ARTHRITIS
VEGFC,ARTHRITIS
VDR,ARTHRITIS
MET,ARTHRITIS
MSTN,ARTHRITIS
UNC5B,ARTHRITIS
NR2C2,ARTHRITIS
GSN,ARTHRITIS
SLC19A1,ARTHRITIS
CXCR6,ARTHRITIS
CTHRC1,ARTHRITIS
OPRM1,ARTHRITIS
ACACA,ARTHRITIS
CCL17,ARTHRITIS
ANXA2,ARTHRITIS
NTN1,ARTHRITIS
EMD,ARTHRITIS
CXCR5,ARTHRITIS
FZD8,ARTHRITIS
IRF5,ARTHRITIS
KLK4,ARTHRITIS
AMIGO2,ARTHRITIS
GZMA,ARTHRITIS
NRDC,ARTHRITIS
MAP2K7,ARTHRITIS
C3,ARTHRITIS
SERPINA6,ARTHRITIS
CDK5R1,ARTHRITIS
CALR,ARTHRITIS
FOXO3,ARTHRITIS
RPL17,ARTHRITIS
UBB,ARTHRITIS
C3AR1,ARTHRITIS
DEK,ARTHRITIS
CD38,ARTHRITIS
BDKRB1,ARTHRITIS
GSK3B,ARTHRITIS
LPA,ARTHRITIS
EPAS1,ARTHRITIS
CXCL1,ARTHRITIS
MC3R,ARTHRITIS
CTSH,ARTHRITIS
HRH4,ARTHRITIS
MAS1,ARTHRITIS
AKT1,ARTHRITIS
CASP8,ARTHRITIS
CD68,ARTHRITIS
ADRB2,ARTHRITIS
DUSP2,ARTHRITIS
CYCS,ARTHRITIS
ENPP2,ARTHRITIS
STAT6,ARTHRITIS
PGLYRP2,ARTHRITIS
IL17F,ARTHRITIS
BCR,ARTHRITIS
CCN1,ARTHRITIS
LRG1,ARTHRITIS
CD1D,ARTHRITIS
RYR1,ARTHRITIS
MYDGF,ARTHRITIS
FFAR2,ARTHRITIS
SUCNR1,ARTHRITIS
MIR708,ASEPTIC NECROSIS OF BONE
BGLAP,ASEPTIC NECROSIS OF BONE
HIF1A,ASEPTIC NECROSIS OF BONE
COL2A1,ASEPTIC NECROSIS OF BONE
IL23R,ASEPTIC NECROSIS OF BONE
MTOR,ASEPTIC NECROSIS OF BONE
BMP2,ASEPTIC NECROSIS OF BONE
PTH,ASEPTIC NECROSIS OF BONE
EPO,ASEPTIC NECROSIS OF BONE
VEGFA,ASEPTIC NECROSIS OF BONE
IFNB1,ASEPTIC NECROSIS OF BONE
NOS3,ASEPTIC NECROSIS OF BONE
IL6,ASEPTIC NECROSIS OF BONE
POMC,ASEPTIC NECROSIS OF BONE
ANXA2,ASEPTIC NECROSIS OF BONE
PPARG,ASEPTIC NECROSIS OF BONE
ABCB1,ASEPTIC NECROSIS OF BONE
F5,ASEPTIC NECROSIS OF BONE
CYP3A4,ASEPTIC NECROSIS OF BONE
TLR4,ASEPTIC NECROSIS OF BONE
APOA1,ASEPTIC NECROSIS OF BONE
ADAMTS7,ASEPTIC NECROSIS OF BONE
NUBP1,ASEPTIC NECROSIS OF BONE
PRKAA1,ASEPTIC NECROSIS OF BONE
TNF,ASEPTIC NECROSIS OF BONE
ASPG,ASEPTIC NECROSIS OF BONE
MSC,ASEPTIC NECROSIS OF BONE
APOB,ASEPTIC NECROSIS OF BONE
TRPV4,ASEPTIC NECROSIS OF BONE
SIRT1,ASEPTIC NECROSIS OF BONE
TNFSF11,ASEPTIC NECROSIS OF BONE
DHS,ASEPTIC NECROSIS OF BONE
TGFB1,BEHCET SYNDROME
ICAM1,BEHCET SYNDROME
CXCL8,BEHCET SYNDROME
PROC,BEHCET SYNDROME
TNF,BEHCET SYNDROME
CCL2,BEHCET SYNDROME
NOD2,BEHCET SYNDROME
IL6,BEHCET SYNDROME
CD28,BEHCET SYNDROME
CIMT,BEHCET SYNDROME
S100A12,BEHCET SYNDROME
HSP90B2P,BEHCET SYNDROME
ADM,BEHCET SYNDROME
IL37,BEHCET SYNDROME
PRL,BEHCET SYNDROME
MBL2,BEHCET SYNDROME
MEFV,BEHCET SYNDROME
IL18,BEHCET SYNDROME
HLA-G,BEHCET SYNDROME
LEP,BEHCET SYNDROME
HLA-E,BEHCET SYNDROME
IL17A,BEHCET SYNDROME
HSPD1,BEHCET SYNDROME
TNFSF13B,BEHCET SYNDROME
HLA-B,BEHCET SYNDROME
IL12RB2,BEHCET SYNDROME
IL23R,BEHCET SYNDROME
CXCL10,BEHCET SYNDROME
ITGAM,BEHCET SYNDROME
HMGB1,BEHCET SYNDROME
IFNA2,BEHCET SYNDROME
CAT,BEHCET SYNDROME
FCGR1A,BEHCET SYNDROME
SPP1,BEHCET SYNDROME
IFNG,BEHCET SYNDROME
IL15,BEHCET SYNDROME
IL33,BEHCET SYNDROME
IL2RA,BEHCET SYNDROME
HAVCR1,BEHCET SYNDROME
TBX21,BEHCET SYNDROME
TFPI,BEHCET SYNDROME
THBD,BEHCET SYNDROME
CXCR3,BEHCET SYNDROME
CRP,BEHCET SYNDROME
EVA1C,BEHCET SYNDROME
HLA-DRB4,BEHCET SYNDROME
IL4,BEHCET SYNDROME
ESR1,BEHCET SYNDROME
F2,BEHCET SYNDROME
IL1A,BEHCET SYNDROME
IL17D,BEHCET SYNDROME
TLR2,BEHCET SYNDROME
IL10,BEHCET SYNDROME
GATA3,BEHCET SYNDROME
NOS3,BEHCET SYNDROME
ERAP1,BEHCET SYNDROME
VEGFA,BEHCET SYNDROME
TLR4,BEHCET SYNDROME
IL1B,BEHCET SYNDROME
MIF,BEHCET SYNDROME
STAT4,BEHCET SYNDROME
AHR,BEHCET SYNDROME
IFNA1,BEHCET SYNDROME
HLA-A,BEHCET SYNDROME
IL12A,BEHCET SYNDROME
IL12B,BEHCET SYNDROME
UBAC2,BEHCET SYNDROME
SOD1,BEHCET SYNDROME
ADA,BEHCET SYNDROME
EDN1,BEHCET SYNDROME
EGF,BEHCET SYNDROME
IL2,BEHCET SYNDROME
FAS,BEHCET SYNDROME
HMOX1,BEHCET SYNDROME
IL23A,BEHCET SYNDROME
VWF,BEHCET SYNDROME
GUSB,BEHCET SYNDROME
VDR,BEHCET SYNDROME
DEFA1,BEHCET SYNDROME
KIR2DL4,BEHCET SYNDROME
ENO1,BEHCET SYNDROME
TIMD4,BEHCET SYNDROME
FNDC5,BEHCET SYNDROME
BTLA,BEHCET SYNDROME
KIR3DL3,BEHCET SYNDROME
ETS1,BEHCET SYNDROME
IL12B,BEHCET SYNDROME
IRF8,BEHCET SYNDROME
LAMP1,BEHCET SYNDROME
SERPINB3,BONE INFECTION
VDR,BONE INFECTION
NAB2,BONE INFECTION
IFNG,BONE INFECTION
IL1B,BONE INFECTION
DPEP1,BONE INFECTION
ESR1,BONE INFECTION
CASP8,BONE INFECTION
CRP,BONE INFECTION
SQSTM1,BONE PAGET DISEASE
TNFRSF11B,BONE PAGET DISEASE
SOST,BONE PAGET DISEASE
CEACAM5,BONE PAGET DISEASE
RIN3,BONE PAGET DISEASE
VCP,BONE PAGET DISEASE
PTH,BONE PAGET DISEASE
BGLAP,BONE PAGET DISEASE
TNFSF11,BONE PAGET DISEASE
ERBB2,BONE PAGET DISEASE
UBB,BONE PAGET DISEASE
FGF2,BONE PAGET DISEASE
TARDBP,BONE PAGET DISEASE
TNFRSF11A,BONE PAGET DISEASE
S100A1,BONE PAGET DISEASE
IL6,BONE PAGET DISEASE
NFE2L2,BONE PAGET DISEASE
IL1RN,CHRONIC ULCERATIVE COLITIS
BAX,CHRONIC ULCERATIVE COLITIS
NOS2,CHRONIC ULCERATIVE COLITIS
SOD1,CHRONIC ULCERATIVE COLITIS
ESR1,CHRONIC ULCERATIVE COLITIS
TBC1D9,CHRONIC ULCERATIVE COLITIS
TNF,CHRONIC ULCERATIVE COLITIS
F2,CHRONIC ULCERATIVE COLITIS
MET,CHRONIC ULCERATIVE COLITIS
ICAM1,CHRONIC ULCERATIVE COLITIS
POMC,CHRONIC ULCERATIVE COLITIS
TPM3,CHRONIC ULCERATIVE COLITIS
LYZ,CHRONIC ULCERATIVE COLITIS
HLA-DRB4,CHRONIC ULCERATIVE COLITIS
CXCL8,CHRONIC ULCERATIVE COLITIS
BCHE,CHRONIC ULCERATIVE COLITIS
IGHG1,CHRONIC ULCERATIVE COLITIS
LTF,CHRONIC ULCERATIVE COLITIS
IL13,CHRONIC ULCERATIVE COLITIS
CXCL10,CHRONIC ULCERATIVE COLITIS
IL23A,CHRONIC ULCERATIVE COLITIS
TGFB1,CHRONIC ULCERATIVE COLITIS
EDN1,CHRONIC ULCERATIVE COLITIS
IL2,CHRONIC ULCERATIVE COLITIS
CCL20,CHRONIC ULCERATIVE COLITIS
HGF,CHRONIC ULCERATIVE COLITIS
IL2RA,CHRONIC ULCERATIVE COLITIS
NFKB1,CHRONIC ULCERATIVE COLITIS
TP53,CHRONIC ULCERATIVE COLITIS
VEGFA,CHRONIC ULCERATIVE COLITIS
PMP22,CHRONIC ULCERATIVE COLITIS
SERPINA1,CHRONIC ULCERATIVE COLITIS
IFNG,CHRONIC ULCERATIVE COLITIS
MIF,CHRONIC ULCERATIVE COLITIS
HLA-DRB1,CHRONIC ULCERATIVE COLITIS
EGF,CHRONIC ULCERATIVE COLITIS
IL21,CHRONIC ULCERATIVE COLITIS
MYDGF,CHRONIC ULCERATIVE COLITIS
C3,CHRONIC ULCERATIVE COLITIS
IL33,CHRONIC ULCERATIVE COLITIS
PPARG,CHRONIC ULCERATIVE COLITIS
TLR4,CHRONIC ULCERATIVE COLITIS
CTNNB1,CHRONIC ULCERATIVE COLITIS
CRP,CHRONIC ULCERATIVE COLITIS
FOXP3,CHRONIC ULCERATIVE COLITIS
TLR9,CHRONIC ULCERATIVE COLITIS
MUC2,CHRONIC ULCERATIVE COLITIS
IL4,CHRONIC ULCERATIVE COLITIS
FAS,CHRONIC ULCERATIVE COLITIS
KRAS,CHRONIC ULCERATIVE COLITIS
HSPD1,CHRONIC ULCERATIVE COLITIS
TNFSF15,CHRONIC ULCERATIVE COLITIS
IL10,CHRONIC ULCERATIVE COLITIS
IGAN1,CHRONIC ULCERATIVE COLITIS
IL1B,CHRONIC ULCERATIVE COLITIS
PTGS1,CHRONIC ULCERATIVE COLITIS
PTGS2,CHRONIC ULCERATIVE COLITIS
CCL11,CHRONIC ULCERATIVE COLITIS
CCL21,CHRONIC ULCERATIVE COLITIS
FGF2,CHRONIC ULCERATIVE COLITIS
NOD2,CHRONIC ULCERATIVE COLITIS
CDKN1A,CHRONIC ULCERATIVE COLITIS
LCT,CHRONIC ULCERATIVE COLITIS
MMP13,CHRONIC ULCERATIVE COLITIS
ELAVL1,CHRONIC ULCERATIVE COLITIS
NFKB1,CHRONIC ULCERATIVE COLITIS
NFKB2,CHRONIC ULCERATIVE COLITIS
RELA,CHRONIC ULCERATIVE COLITIS
RELB,CHRONIC ULCERATIVE COLITIS
REL,CHRONIC ULCERATIVE COLITIS
BCL2,CHRONIC ULCERATIVE COLITIS
STAT4,CHRONIC ULCERATIVE COLITIS
IL12A,CHRONIC ULCERATIVE COLITIS
IL12B,CHRONIC ULCERATIVE COLITIS
CD44,CHRONIC ULCERATIVE COLITIS
IL5,CHRONIC ULCERATIVE COLITIS
STAT6,CHRONIC ULCERATIVE COLITIS
SDC1,CHRONIC ULCERATIVE COLITIS
MMP9,CHRONIC ULCERATIVE COLITIS
IL6,CHRONIC ULCERATIVE COLITIS
CABIN1,CHRONIC ULCERATIVE COLITIS
STAT3,CHRONIC ULCERATIVE COLITIS
CCR9,CHRONIC ULCERATIVE COLITIS
ADM,CHRONIC ULCERATIVE COLITIS
TNFRSF25,CHRONIC ULCERATIVE COLITIS
VWF,CHRONIC ULCERATIVE COLITIS
IL17F,CHRONIC ULCERATIVE COLITIS
SOCS3,CHRONIC ULCERATIVE COLITIS
CTLA4,CHRONIC ULCERATIVE COLITIS
RBM45,CHRONIC ULCERATIVE COLITIS
IL23R,CHRONIC ULCERATIVE COLITIS
CXCR2,CHRONIC ULCERATIVE COLITIS
ALB,CHRONIC ULCERATIVE COLITIS
TXN,CHRONIC ULCERATIVE COLITIS
HLA-G,CHRONIC ULCERATIVE COLITIS
VDR,CHRONIC ULCERATIVE COLITIS
IL17A,CHRONIC ULCERATIVE COLITIS
MIR155,CHRONIC ULCERATIVE COLITIS
MSC,CHRONIC ULCERATIVE COLITIS
ALOX5,CHRONIC ULCERATIVE COLITIS
CEACAM5,CHRONIC ULCERATIVE COLITIS
PTPN11,CHRONIC ULCERATIVE COLITIS
CD14,CHRONIC ULCERATIVE COLITIS
TLR3,CHRONIC ULCERATIVE COLITIS
S100A12,CHRONIC ULCERATIVE COLITIS
IL22,CHRONIC ULCERATIVE COLITIS
GATA3,CHRONIC ULCERATIVE COLITIS
CXCL2,CHRONIC ULCERATIVE COLITIS
MIR21,CHRONIC ULCERATIVE COLITIS
VIP,CHRONIC ULCERATIVE COLITIS
CD79A,CHRONIC ULCERATIVE COLITIS
MPO,CHRONIC ULCERATIVE COLITIS
STAT1,CHRONIC ULCERATIVE COLITIS
IL9,CHRONIC ULCERATIVE COLITIS
TAC1,CHRONIC ULCERATIVE COLITIS
SST,CHRONIC ULCERATIVE COLITIS
ST2,CHRONIC ULCERATIVE COLITIS
HSPA4,CHRONIC ULCERATIVE COLITIS
CCR6,CHRONIC ULCERATIVE COLITIS
IGHE,CHRONIC ULCERATIVE COLITIS
IL17RA,CHRONIC ULCERATIVE COLITIS
NLRP3,CHRONIC ULCERATIVE COLITIS
MST1,CHRONIC ULCERATIVE COLITIS
WNT5A,CHRONIC ULCERATIVE COLITIS
ABCB1,CHRONIC ULCERATIVE COLITIS
MIR126,CHRONIC ULCERATIVE COLITIS
AKT1,CHRONIC ULCERATIVE COLITIS
CDH1,CHRONIC ULCERATIVE COLITIS
IFNB1,CHRONIC ULCERATIVE COLITIS
CCL7,CHRONIC ULCERATIVE COLITIS
MADCAM1,CHRONIC ULCERATIVE COLITIS
TNC,CHRONIC ULCERATIVE COLITIS
MMP1,CHRONIC ULCERATIVE COLITIS
RNASE3,CHRONIC ULCERATIVE COLITIS
ITGAE,CHRONIC ULCERATIVE COLITIS
EPX,CHRONIC ULCERATIVE COLITIS
CCL16,CHRONIC ULCERATIVE COLITIS
S100B,CHRONIC ULCERATIVE COLITIS
CXCR3,CHRONIC ULCERATIVE COLITIS
BGLAP,CHRONIC ULCERATIVE COLITIS
REG4,CHRONIC ULCERATIVE COLITIS
S100A9,CHRONIC ULCERATIVE COLITIS
PECAM1,CHRONIC ULCERATIVE COLITIS
KRT76,CHRONIC ULCERATIVE COLITIS
CCL3,CHRONIC ULCERATIVE COLITIS
CNR1,CHRONIC ULCERATIVE COLITIS
GPBAR1,CHRONIC ULCERATIVE COLITIS
CCND1,CHRONIC ULCERATIVE COLITIS
MRAP,CHRONIC ULCERATIVE COLITIS
SCAI,CHRONIC ULCERATIVE COLITIS
MSH2,CHRONIC ULCERATIVE COLITIS
NKX2-3,CHRONIC ULCERATIVE COLITIS
MTHFR,CHRONIC ULCERATIVE COLITIS
TBX21,CHRONIC ULCERATIVE COLITIS
TCN2,CHRONIC ULCERATIVE COLITIS
CAT,CHRONIC ULCERATIVE COLITIS
TRAP1,CHRONIC ULCERATIVE COLITIS
MICB,CHRONIC ULCERATIVE COLITIS
ALPI,CHRONIC ULCERATIVE COLITIS
HMGB2,CHRONIC ULCERATIVE COLITIS
GPR35,CHRONIC ULCERATIVE COLITIS
MIR142,CHRONIC ULCERATIVE COLITIS
RTCA,CHRONIC ULCERATIVE COLITIS
GHRL,CHRONIC ULCERATIVE COLITIS
IRAK1,CHRONIC ULCERATIVE COLITIS
H19,CHRONIC ULCERATIVE COLITIS
MTFMT,CHRONIC ULCERATIVE COLITIS
PCLAF,CHRONIC ULCERATIVE COLITIS
ADIPOQ,CHRONIC ULCERATIVE COLITIS
SLC9A3,CHRONIC ULCERATIVE COLITIS
SLC11A1,CHRONIC ULCERATIVE COLITIS
TIMP1,CHRONIC ULCERATIVE COLITIS
GUCY2C,CHRONIC ULCERATIVE COLITIS
IL27,CHRONIC ULCERATIVE COLITIS
RNF186,CHRONIC ULCERATIVE COLITIS
SLC3A2,CHRONIC ULCERATIVE COLITIS
PRDX1,CHRONIC ULCERATIVE COLITIS
PGF,CHRONIC ULCERATIVE COLITIS
SEMA4A,CHRONIC ULCERATIVE COLITIS
GCG,CHRONIC ULCERATIVE COLITIS
MIR146A,CHRONIC ULCERATIVE COLITIS
GUCA2B,CHRONIC ULCERATIVE COLITIS
KCNE3,CHRONIC ULCERATIVE COLITIS
NOD1,CHRONIC ULCERATIVE COLITIS
REG1A,CHRONIC ULCERATIVE COLITIS
DMBT1,CHRONIC ULCERATIVE COLITIS
IL37,CHRONIC ULCERATIVE COLITIS
BECN1,CHRONIC ULCERATIVE COLITIS
IGHG3,CHRONIC ULCERATIVE COLITIS
ACAT2,CHRONIC ULCERATIVE COLITIS
IL7R,CHRONIC ULCERATIVE COLITIS
MUC5AC,CHRONIC ULCERATIVE COLITIS
NAMPT,CHRONIC ULCERATIVE COLITIS
FGFR1,CHRONIC ULCERATIVE COLITIS
CLDN1,CHRONIC ULCERATIVE COLITIS
JAK3,CHRONIC ULCERATIVE COLITIS
S100A8,CHRONIC ULCERATIVE COLITIS
CSF3,CHRONIC ULCERATIVE COLITIS
CLDN2,CHRONIC ULCERATIVE COLITIS
CPB2,CHRONIC ULCERATIVE COLITIS
KLRK1,CHRONIC ULCERATIVE COLITIS
MME,CHRONIC ULCERATIVE COLITIS
CHGA,CHRONIC ULCERATIVE COLITIS
MIR29A,CHRONIC ULCERATIVE COLITIS
CA1,CHRONIC ULCERATIVE COLITIS
MAPK8,CHRONIC ULCERATIVE COLITIS
HMGB1,CHRONIC ULCERATIVE COLITIS
IL1A,CHRONIC ULCERATIVE COLITIS
MIR31,CHRONIC ULCERATIVE COLITIS
XRCC3,CHRONIC ULCERATIVE COLITIS
MIR490,CHRONIC ULCERATIVE COLITIS
IL1RL1,CHRONIC ULCERATIVE COLITIS
KDR,CHRONIC ULCERATIVE COLITIS
MPZ,CHRONIC ULCERATIVE COLITIS
EIM,CHRONIC ULCERATIVE COLITIS
EXOSC1,CHRONIC ULCERATIVE COLITIS
SOCS1,CHRONIC ULCERATIVE COLITIS
HIF1A,CHRONIC ULCERATIVE COLITIS
CCL25,CHRONIC ULCERATIVE COLITIS
LRG1,CHRONIC ULCERATIVE COLITIS
CXCL5,CHRONIC ULCERATIVE COLITIS
EBI3,CHRONIC ULCERATIVE COLITIS
NFE2L2,CHRONIC ULCERATIVE COLITIS
TNFRSF11B,CHRONIC ULCERATIVE COLITIS
KCNQ1,CHRONIC ULCERATIVE COLITIS
SPRED2,CHRONIC ULCERATIVE COLITIS
S100A4,CHRONIC ULCERATIVE COLITIS
CSK,CHRONIC ULCERATIVE COLITIS
TLR2,CHRONIC ULCERATIVE COLITIS
S1PR1,CHRONIC ULCERATIVE COLITIS
GUCA2A,CHRONIC ULCERATIVE COLITIS
GH1,CHRONIC ULCERATIVE COLITIS
NR0B1,CHRONIC ULCERATIVE COLITIS
AHR,CHRONIC ULCERATIVE COLITIS
XBP1,CHRONIC ULCERATIVE COLITIS
MIR499A,CHRONIC ULCERATIVE COLITIS
IKBKB,CHRONIC ULCERATIVE COLITIS
FOXO3,CHRONIC ULCERATIVE COLITIS
PRMT5,CHRONIC ULCERATIVE COLITIS
MUC1,CHRONIC ULCERATIVE COLITIS
MMP3,CHRONIC ULCERATIVE COLITIS
CLEC7A,CHRONIC ULCERATIVE COLITIS
ACE,CHRONIC ULCERATIVE COLITIS
RMC1,CHRONIC ULCERATIVE COLITIS
CCT4,CHRONIC ULCERATIVE COLITIS
DAP,CHRONIC ULCERATIVE COLITIS
TRAF3IP2,CHRONIC ULCERATIVE COLITIS
ATG16L1,CHRONIC ULCERATIVE COLITIS
MIR192,CHRONIC ULCERATIVE COLITIS
APTX,COGAN SYNDROME
CRPPA,COGAN SYNDROME
SETX,COGAN SYNDROME
PNKP,COGAN SYNDROME
PTPRJ,COGAN SYNDROME
GJB2,COGAN SYNDROME
LTF,CROHN'S DISEASE
IL18,CROHN'S DISEASE
TBX21,CROHN'S DISEASE
TNF,CROHN'S DISEASE
IL6,CROHN'S DISEASE
CD14,CROHN'S DISEASE
IL1B,CROHN'S DISEASE
IBD5,CROHN'S DISEASE
IL11,CROHN'S DISEASE
CD79A,CROHN'S DISEASE
GH1,CROHN'S DISEASE
CXCL8,CROHN'S DISEASE
LYZ,CROHN'S DISEASE
IL12A,CROHN'S DISEASE
IL12B,CROHN'S DISEASE
IL2RA,CROHN'S DISEASE
NOD2,CROHN'S DISEASE
SERPINA1,CROHN'S DISEASE
MMP3,CROHN'S DISEASE
CCL25,CROHN'S DISEASE
HLA-E,CROHN'S DISEASE
ICAM1,CROHN'S DISEASE
IL10,CROHN'S DISEASE
IL18BP,CROHN'S DISEASE
FCGR1A,CROHN'S DISEASE
PTGS2,CROHN'S DISEASE
CAT,CROHN'S DISEASE
IGF1,CROHN'S DISEASE
RNASE3,CROHN'S DISEASE
SPP1,CROHN'S DISEASE
BCHE,CROHN'S DISEASE
CSF3,CROHN'S DISEASE
IL27,CROHN'S DISEASE
TLR5,CROHN'S DISEASE
NFKB1,CROHN'S DISEASE
MMP9,CROHN'S DISEASE
RBM45,CROHN'S DISEASE
TGFB1,CROHN'S DISEASE
DEFB4A,CROHN'S DISEASE
IGAN1,CROHN'S DISEASE
ACE,CROHN'S DISEASE
IFNG,CROHN'S DISEASE
CD40LG,CROHN'S DISEASE
FN1,CROHN'S DISEASE
DLG5,CROHN'S DISEASE
HLA-DRB4,CROHN'S DISEASE
VDR,CROHN'S DISEASE
IL23R,CROHN'S DISEASE
VEGFA,CROHN'S DISEASE
FGF2,CROHN'S DISEASE
CD69,CROHN'S DISEASE
TNFSF15,CROHN'S DISEASE
IL10RA,CROHN'S DISEASE
PTPN22,CROHN'S DISEASE
TLR4,CROHN'S DISEASE
IL2,CROHN'S DISEASE
IL22,CROHN'S DISEASE
CSF2,CROHN'S DISEASE
STAT3,CROHN'S DISEASE
HLA-G,CROHN'S DISEASE
ATG16L1,CROHN'S DISEASE
TBC1D9,CROHN'S DISEASE
HSPA4,CROHN'S DISEASE
CCL2,CROHN'S DISEASE
CCR9,CROHN'S DISEASE
STAT4,CROHN'S DISEASE
TNFRSF11B,CROHN'S DISEASE
MBL2,CROHN'S DISEASE
POMC,CROHN'S DISEASE
CRP,CROHN'S DISEASE
CXCL16,CROHN'S DISEASE
NFKB1,CROHN'S DISEASE
NFKB2,CROHN'S DISEASE
RELA,CROHN'S DISEASE
RELB,CROHN'S DISEASE
REL,CROHN'S DISEASE
LEP,CROHN'S DISEASE
SLC22A4,CROHN'S DISEASE
P2RX7,CROHN'S DISEASE
CCL5,CROHN'S DISEASE
VIP,CROHN'S DISEASE
EVA1C,CROHN'S DISEASE
CLDN2,CROHN'S DISEASE
SDC1,CROHN'S DISEASE
SPINK1,CROHN'S DISEASE
PTPN2,CROHN'S DISEASE
JAK2,CROHN'S DISEASE
STAT1,CROHN'S DISEASE
LTA,CROHN'S DISEASE
