Source,Target
MIR194-1,AGE RELATED OSTEOPOROSIS
HBM,AGE RELATED OSTEOPOROSIS
GDF11,AGE RELATED OSTEOPOROSIS
CBS,AGE RELATED OSTEOPOROSIS
KHDRBS1,AGE RELATED OSTEOPOROSIS
CDX2,AGE RELATED OSTEOPOROSIS
BMP7,AGE RELATED OSTEOPOROSIS
SATB2,AGE RELATED OSTEOPOROSIS
NFATC1,AGE RELATED OSTEOPOROSIS
ST2,AGE RELATED OSTEOPOROSIS
IFNG,AGE RELATED OSTEOPOROSIS
RICTOR,AGE RELATED OSTEOPOROSIS
COL1A2,AGE RELATED OSTEOPOROSIS
DDR2,AGE RELATED OSTEOPOROSIS
MAPK7,AGE RELATED OSTEOPOROSIS
IL37,AGE RELATED OSTEOPOROSIS
SOX6,AGE RELATED OSTEOPOROSIS
LRP6,AGE RELATED OSTEOPOROSIS
ZNF467,AGE RELATED OSTEOPOROSIS
RXFP2,AGE RELATED OSTEOPOROSIS
MTHFR,AGE RELATED OSTEOPOROSIS
TNFRSF25,AGE RELATED OSTEOPOROSIS
GSTT1,AGE RELATED OSTEOPOROSIS
TRPV1,AGE RELATED OSTEOPOROSIS
WNT4,AGE RELATED OSTEOPOROSIS
EPHA2,AGE RELATED OSTEOPOROSIS
NELL1,AGE RELATED OSTEOPOROSIS
GHR,AGE RELATED OSTEOPOROSIS
RHOV,AGE RELATED OSTEOPOROSIS
DDIT3,AGE RELATED OSTEOPOROSIS
WNT16,AGE RELATED OSTEOPOROSIS
PLEKHO1,AGE RELATED OSTEOPOROSIS
SMURF1,AGE RELATED OSTEOPOROSIS
CNR2,AGE RELATED OSTEOPOROSIS
CTSB,AGE RELATED OSTEOPOROSIS
LIF,AGE RELATED OSTEOPOROSIS
CCL2,AGE RELATED OSTEOPOROSIS
PTN,AGE RELATED OSTEOPOROSIS
CDH1,AGE RELATED OSTEOPOROSIS
POMC,AGE RELATED OSTEOPOROSIS
PPIA,AGE RELATED OSTEOPOROSIS
SLC11A2,AGE RELATED OSTEOPOROSIS
DDOST,AGE RELATED OSTEOPOROSIS
LYPD4,AGE RELATED OSTEOPOROSIS
FDPS,AGE RELATED OSTEOPOROSIS
LEPR,AGE RELATED OSTEOPOROSIS
FOXO1,AGE RELATED OSTEOPOROSIS
TPH1,AGE RELATED OSTEOPOROSIS
EZH2,AGE RELATED OSTEOPOROSIS
GBP1,AGE RELATED OSTEOPOROSIS
ESRRA,AGE RELATED OSTEOPOROSIS
ZDHHC13,AGE RELATED OSTEOPOROSIS
CEACAM1,AGE RELATED OSTEOPOROSIS
ATP6V1H,AGE RELATED OSTEOPOROSIS
WNT10B,AGE RELATED OSTEOPOROSIS
ACP1,AGE RELATED OSTEOPOROSIS
MDK,AGE RELATED OSTEOPOROSIS
MEN1,AGE RELATED OSTEOPOROSIS
APOE,AGE RELATED OSTEOPOROSIS
GIP,AGE RELATED OSTEOPOROSIS
IL33,AGE RELATED OSTEOPOROSIS
CP,AGE RELATED OSTEOPOROSIS
EFNA2,AGE RELATED OSTEOPOROSIS
SLC2A1,AGE RELATED OSTEOPOROSIS
SQOR,AGE RELATED OSTEOPOROSIS
IL31,AGE RELATED OSTEOPOROSIS
BPIFA2,AGE RELATED OSTEOPOROSIS
IL1RN,AGE RELATED OSTEOPOROSIS
DBP,AGE RELATED OSTEOPOROSIS
MIR106B,AGE RELATED OSTEOPOROSIS
LRP1,AGE RELATED OSTEOPOROSIS
FGF2,AGE RELATED OSTEOPOROSIS
BMP3,AGE RELATED OSTEOPOROSIS
HAMP,AGE RELATED OSTEOPOROSIS
IBSP,AGE RELATED OSTEOPOROSIS
FGFR3,AGE RELATED OSTEOPOROSIS
FNDC5,AGE RELATED OSTEOPOROSIS
IL18,AGE RELATED OSTEOPOROSIS
SMAD5,AGE RELATED OSTEOPOROSIS
PTRH1,AGE RELATED OSTEOPOROSIS
